LS_Pred,Crash cause
1.9652223337890296,4
2.2890325686922837,2
1.7926178563995991,1
1.7945569494947795,0
1.5774887900552859,4
2.0859501086912093,4
2.0290122385260183,0
2.1854244223201027,5
1.5851873170350665,4
1.559021626231608,2
1.8807255217163545,2
1.6851962051546532,2
2.0245510132662226,4
2.150827708901099,2
2.583566968672121,4
1.662873237188812,2
1.9866917491921017,2
2.0273372470923303,4
2.0334508951496226,4
2.2059720579696966,4
2.216740362702241,5
1.9104552121994005,0
1.9415853014491726,4
1.930759775148759,4
1.6851962051546532,2
2.1725438754392847,0
2.2267777425953525,2
1.8880001599439855,5
2.237930647906042,5
2.174634416083624,4
2.5366057479417172,0
2.1672654173286974,4
0.5204197477579955,5
1.7943822684556099,2
2.510121706953651,2
1.5759560554725907,2
2.0504816379259196,4
2.4193089255013485,2
2.545846228497783,5
2.7005326846450037,4
1.6889166998156266,4
1.8905134651878222,4
1.4977867060079144,0
1.6353008694591196,4
2.0278261597989062,2
1.93554715125367,4
2.4683062736350747,4
2.152869983669568,2
2.409161542102405,4
1.7565240322317857,4
1.5622707015188406,5
2.7218547032467577,4
2.0190713917753773,4
1.6454407006447735,4
2.2372784309253344,2
2.368771261440142,4
1.716945459761363,0
1.7494707621375856,4
2.459404936576945,5
2.479844533261365,4
2.029156530630856,4
1.7907676266979249,4
1.8601518910667243,2
